,aircraft_id,occurrence_id,registration,operator_id,equipment,manufacturer,model,engine_type,engines_amount,takeoff_max_weight (Lbs),seatings_amount,year_manufacture,registration_country,registration_category,registration_aviation,origin_flight,destination_flight,operation_phase,type_operation,damage_level,fatalities_amount,extraction_day
0,4,45602,PPGXE,241,AIRPLANE,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTON,1.0,1455,2.0,1962,BRAZIL,PRI,INSTRUCTION,SDPW,SDPW,UNKNOWN,INSTRUCTION,SUBSTANTIAL,,2016-07-30
1,40,53551,PPGSZ,160,AIRPLANE,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTON,1.0,1455,2.0,1960,BRAZIL,PRI,INSTRUCTION,SBBP,SBBP,TAKEOFF,INSTRUCTION,LIGHT,,2016-07-30
2,118,43721,PTCMT,1232,AIRPLANE,BEECH AIRCRAFT,95-B55,PISTON,2.0,5092,6.0,1966,BRAZIL,TPX,AEROTAXI,****,****,RUN AFTER LANDING,AEROTAXI,SUBSTANTIAL,,2016-07-30
3,130,35556,PTEQI,3992,AIRPLANE,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,PISTON,1.0,3600,6.0,1979,BRAZIL,TPP,PRIVATE,SNDU,SBSL,RUN AFTER LANDING,PRIVATE,LIGHT,,2016-07-30
4,191,32579,PPVMM,4365,AIRPLANE,BOEING COMPANY,737-241,JET,2.0,115497,117.0,1975,BRAZIL,TPR,REGULAR,****,****,ASCENSION,REGULAR,NONE,,2016-07-30
5,206,38376,PTKDW,3992,AIRPLANE,CESSNA AIRCRAFT,182P,PISTON,1.0,2949,4.0,1974,BRAZIL,TPP,PRIVATE,SJCY,SIBX,RUN AFTER LANDING,PRIVATE,SUBSTANTIAL,,2016-07-30
6,213,50332,PTNOE,3992,AIRPLANE,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTON,1.0,2649,4.0,1977,BRAZIL,TPP,PRIVATE,SSCT,SBMG,TAKEOFF,PRIVATE,SUBSTANTIAL,,2016-07-30
7,221,51531,PTIZV,283,AIRPLANE,PIPER AIRCRAFT,PA-28-140,PISTON,1.0,1948,2.0,1973,BRAZIL,PRI,INSTRUCTION,SBMT,SBMT,MANEUVER,INSTRUCTION,SUBSTANTIAL,,2016-07-30
8,248,35675,PTHML,4158,HELICOPTER,HELIBRAS,HB-350B,TURBOSHAFT,1.0,4299,6.0,1983,BRAZIL,ADE,DIRECT ADMINISTRATION,SBFL,****,HOVERING,POLICIAL,NONE,,2016-07-30
9,248,48012,PTHML,2486,HELICOPTER,HELIBRAS,HB-350B,TURBOSHAFT,1.0,4299,6.0,1983,BRAZIL,M14,MULTIPLE,****,****,FINAL APPROXIMATION,AEROTAXI,SUBSTANTIAL,,2016-07-30
10,252,34650,PTRMP,3175,AIRPLANE,EMBRAER,EMB-810C,PISTON,2.0,4570,7.0,1982,BRAZIL,TPX,AEROTAXI,****,****,RUN AFTER LANDING,AEROTAXI,NONE,,2016-07-30
11,252,27410,PTRMP,3175,AIRPLANE,EMBRAER,EMB-810C,PISTON,2.0,4570,7.0,1982,BRAZIL,TPX,AEROTAXI,****,****,UNKNOWN,AEROTAXI,UNKNOWN,,2016-07-30
12,256,49451,PPKBP,161,AIRPLANE,XAVANTE,A-122-B,PISTON,1.0,1851,2.0,1978,BRAZIL,PRI,INSTRUCTION,****,****,TAKEOFF,INSTRUCTION,SUBSTANTIAL,,2016-07-30
13,256,46448,PPKBP,161,AIRPLANE,XAVANTE,A-122-B,PISTON,1.0,1851,2.0,1978,BRAZIL,PRI,INSTRUCTION,****,****,TAKEOFF,INSTRUCTION,NONE,,2016-07-30
14,267,53433,PTIKF,3992,AIRPLANE,PIPER AIRCRAFT,PA-28R-200,PISTON,1.0,2599,4.0,1973,BRAZIL,TPP,PRIVATE,SSXO,SSXO,FINAL APPROXIMATION,PRIVATE,SUBSTANTIAL,,2016-07-30
15,268,37535,PPFGK,212,AIRPLANE,AERO BOERO,AB-115,PISTON,1.0,1697,3.0,1988,BRAZIL,PRI,INSTRUCTION,****,****,RUSH ON THE GROUND,INSTRUCTION,LIGHT,,2016-07-30
