"","equipment","manufacturer","engine_type","engines_amount","takeoff_max_weight..Lbs.","seatings_amount","year_manufacture","registration_category","registration_aviation","operation_phase","type_operation","fu","occuence_year","classification"
"1","AIRPLANE","PIPER AIRCRAFT","PISTON",2,4750,7,1997,"TPP","PRIVATE","DESCEND","PRIVATE","SP",2006,"ACCIDENT"
"2","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,4199,1,1974,"SAE-AG","AGRICULTURAL","LOW ALTITUDE NAVIGATION","AGRICULTURAL","RS",2006,"ACCIDENT"
"3","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2649,4,1976,"TPX","AEROTAXI","UNKNOWN","AEROTAXI","AP",2006,"ACCIDENT"
"4","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2649,4,1982,"TPP","PRIVATE","UNKNOWN","PRIVATE","EX",2006,"ACCIDENT"
"5","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,1455,2,1960,"PRI","INSTRUCTION","UNKNOWN","INSTRUCTION","RS",2006,"SERIOUS INCIDENT"
"6","AIRPLANE","PIPER AIRCRAFT","PISTON",1,2899,1,1968,"SAE-AG","AGRICULTURAL","LOW ALTITUDE NAVIGATION","AGRICULTURAL","PR",2006,"ACCIDENT"
"7","HELICOPTER","BELL HELICOPTER","TURBOSHAFT",1,3201,5,1990,"TPP","PRIVATE","UNKNOWN","PRIVATE","RS",2006,"ACCIDENT"
"8","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2200,4,1951,"SAE-AP","SPECIALIZED","ANOTHER PHASE","SPECIALIZED","PE",2006,"ACCIDENT"
"9","AIRPLANE","PIPER AIRCRAFT","PISTON",1,2899,1,1976,"SAE-AG","AGRICULTURAL","SPECIALIZED","AGRICULTURAL","SP",2006,"ACCIDENT"
"10","HELICOPTER","BELL HELICOPTER","TURBOSHAFT",1,3201,5,1986,"ADE","DIRECT ADMINISTRATION","MANEUVER","POLICIAL","MG",2006,"ACCIDENT"
"11","HELICOPTER","EUROCOPTER FRANCE","TURBOSHAFT",1,4960,6,2004,"TPX","AEROTAXI","UNKNOWN","AEROTAXI","RJ",2006,"ACCIDENT"
"12","AIRPLANE","PIPER AIRCRAFT","PISTON",1,2899,1,1969,"SAE-AG","AGRICULTURAL","TRAFFIC CIRCUIT","AGRICULTURAL","SC",2006,"ACCIDENT"
"13","AIRPLANE","CESSNA AIRCRAFT","JET",2,20000,11,2000,"TPN","NOT REGULAR","DESCEND","REGULAR","SP",2006,"SERIOUS INCIDENT"
"14","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1994,"SAE-AG","AGRICULTURAL","LANDING","AGRICULTURAL","PR",2006,"ACCIDENT"
"15","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",2,4750,7,1988,"TPX","AEROTAXI","LANDING","AEROTAXI","AM",2006,"ACCIDENT"
"16","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,1300,2,2001,"PRI","INSTRUCTION","UNKNOWN","INSTRUCTION","PR",2006,"ACCIDENT"
"17","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2949,4,1973,"TPP","PRIVATE","UNKNOWN","PRIVATE","RR",2006,"ACCIDENT"
"18","AIRPLANE","BOEING COMPANY","JET",2,134997,142,1990,"TPR","REGULAR","UNKNOWN","REGULAR","SP",2006,"SERIOUS INCIDENT"
"19","AIRPLANE","AIRBUS INDUSTRIE","JET",2,169755,184,1997,"TPR","REGULAR","UNKNOWN","REGULAR","SP",2006,"SERIOUS INCIDENT"
"20","AIRPLANE","BOEING COMPANY","JET",2,150000,179,1991,"TPR","REGULAR","UNKNOWN","REGULAR","SP",2006,"SERIOUS INCIDENT"
"21","AIRPLANE","AIR TRACTOR","PISTON",1,6000,1,1991,"SAE-AG","AGRICULTURAL","ANOTHER PHASE","AGRICULTURAL","MT",2006,"ACCIDENT"
"22","AIRPLANE","BEECH AIRCRAFT","PISTON",1,3126,4,1962,"TPP","PRIVATE","FINAL STRETCH","PRIVATE","MT",2006,"ACCIDENT"
"23","HELICOPTER","ROBINSON HELICOPTER","TURBOSHAFT",1,2398,4,2000,"SAE","SPECIALIZED","TAKEOFF","SPECIALIZED","SP",2006,"ACCIDENT"
"24","AIRPLANE","LET AIRCRAFT INDUSTRIES","TURBOPROP",2,14550,21,1991,"TPP","PRIVATE","CRUISE","PRIVATE","RJ",2006,"ACCIDENT"
"25","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,0,"SAE-AG","AGRICULTURAL","SPECIALIZED","AGRICULTURAL","MT",2006,"ACCIDENT"
"26","AIRPLANE","BOEING COMPANY","JET",2,129999,125,1990,"TPR","REGULAR","UNKNOWN","REGULAR","ES",2006,"SERIOUS INCIDENT"
"27","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,1369,2,1993,"TPP","PRIVATE","UNKNOWN","PRIVATE","SC",2006,"ACCIDENT"
"28","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,2949,4,1974,"TPP","PRIVATE","CRUISE","PRIVATE","MT",2006,"ACCIDENT"
"29","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,1900,1,1948,"SAE","SPECIALIZED","SPECIALIZED","SPECIALIZED","RJ",2006,"ACCIDENT"
"30","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1989,"PRI","INSTRUCTION","LANDING","INSTRUCTION","SC",2006,"ACCIDENT"
"31","HELICOPTER","BELL HELICOPTER","TURBOSHAFT",1,3196,5,1981,"TPX","AEROTAXI","LOW ALTITUDE NAVIGATION","AEROTAXI","SP",2006,"ACCIDENT"
"32","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"PRI","INSTRUCTION","UNKNOWN","INSTRUCTION","PR",2006,"SERIOUS INCIDENT"
"33","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"PRI","INSTRUCTION","UNKNOWN","INSTRUCTION","RS",2006,"SERIOUS INCIDENT"
"34","AIRPLANE","BEECH AIRCRAFT","PISTON",1,3399,6,1974,"TPP","PRIVATE","UNKNOWN","PRIVATE","MT",2006,"ACCIDENT"
"35","AIRPLANE","TWIN COMMANDER","PISTON",2,6750,6,1972,"TPX","AEROTAXI","TRAFFIC CIRCUIT","AEROTAXI","RN",2006,"ACCIDENT"
"36","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2398,4,2005,"TPP","PRIVATE","CRUISE","PRIVATE","ES",2006,"ACCIDENT"
"37","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2398,4,1995,"TPP","PRIVATE","CRUISE","PRIVATE","SP",2006,"ACCIDENT"
"38","AIRPLANE","BOEING COMPANY","JET",2,136999,157,1989,"TPN","NOT REGULAR","CRUISE","REGULAR","MG",2006,"SERIOUS INCIDENT"
"39","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3800,6,1974,"TPP","PRIVATE","UNKNOWN","PRIVATE","MS",2006,"ACCIDENT"
"40","AIRPLANE","BEECH AIRCRAFT","TURBOPROP",2,9649,8,1980,"TPP","PRIVATE","ASCENSION","PRIVATE","SP",2006,"ACCIDENT"
"41","HELICOPTER","BELL HELICOPTER","TURBOSHAFT",1,3198,5,1983,"TPX","AEROTAXI","CRUISE","AEROTAXI","AL",2006,"ACCIDENT"
