"occurrence_id","aircraft_id","registration","operator_id","equipment","manufacturer","model","engine_type","engines_amount","takeoff_max_weight..Lbs.","seatings_amount","year_manufacture","registration_country","registration_category","registration_aviation","origin_flight","destination_flight","operation_phase","type_operation","damage_level","fatalities_amount","classification","type.of.occurrence","localization","fu","country","aerodrome","occurrence_day","time","under_investigation","investigating_command","investigation_status","report_number","published_report","publication_day","recommendation_amount","aircrafts_involved","takeoff"
25799,9035,"PTWRT",3992,"AIRPLANE","PIPER AIRCRAFT","PA-34-220T","PISTON",2,4750,7,1997,"BRAZIL","TPP","PRIVATE","****","****","DESCEND","PRIVATE","DESTROYED",2,"ACCIDENT","COLLISION AGAINST OBSTACLE DURING THE FLIGHT","SÃO PAULO","SP","BRAZIL","****","2006-01-02","11:40:00","YES","SERIPA-4","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
25819,9036,"PRBSM",90,"AIRPLANE","CESSNA AIRCRAFT","A188B","PISTON",1,4199,1,1974,"BRAZIL","SAE-AG","AGRICULTURAL","****","****","LOW ALTITUDE NAVIGATION","AGRICULTURAL","SUBSTANTIAL",NA,"ACCIDENT","LOW ALTITUDE MANEUVERS","GUAÍBA","RS","BRAZIL","****","2006-01-12","20:00:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
25820,6794,"PTNCO",4062,"AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","EMB-711","PISTON",1,2649,4,1976,"BRAZIL","TPX","AEROTAXI","****","****","UNKNOWN","AEROTAXI","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","OIAPOQUE","AP","BRAZIL","****","2006-01-02","12:40:00","YES","SERIPA-1","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
25839,9038,"PTOJN",3992,"AIRPLANE","CESSNA AIRCRAFT","172RG","PISTON",1,2649,4,1982,"BRAZIL","TPP","PRIVATE","****","****","UNKNOWN","PRIVATE","UNKNOWN",4,"ACCIDENT","COLLISION AGAINST OBSTACLE ON THE GROUND","MENDONZA","EX","ARGENTINA","****","2006-01-03","00:00:00","UNKNOWN","CENIPA","","",NA,"",0,1,NA
25999,3653,"PPGSO",181,"AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","56-C","PISTON",1,1455,2,1960,"BRAZIL","PRI","INSTRUCTION","****","****","UNKNOWN","INSTRUCTION","UNKNOWN",NA,"SERIOUS INCIDENT","STRUCTURAL FAILURE","ELDORADO DO SUL","RS","BRAZIL","****","2006-01-12","14:50:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26099,7991,"PTBII",3564,"AIRPLANE","PIPER AIRCRAFT","PA-25-235","PISTON",1,2899,1,1968,"BRAZIL","SAE-AG","AGRICULTURAL","****","****","LOW ALTITUDE NAVIGATION","AGRICULTURAL","SUBSTANTIAL",NA,"ACCIDENT","COLLISION AGAINST OBSTACLE DURING THE FLIGHT","GUARATUBA","PR","BRAZIL","****","2006-01-21","13:15:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26119,9049,"PTHVY",3992,"HELICOPTER","BELL HELICOPTER","206B","TURBOSHAFT",1,3201,5,1990,"BRAZIL","TPP","PRIVATE","****","****","UNKNOWN","PRIVATE","SUBSTANTIAL",2,"ACCIDENT","COLLISION AGAINST OBSTACLE DURING THE FLIGHT","SANTO ANTÔNIO DA PATRULHA","RS","BRAZIL","****","2006-02-11","19:30:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26120,7800,"PTAGT",327,"AIRPLANE","CESSNA AIRCRAFT","170A","PISTON",1,2200,4,1951,"BRAZIL","SAE-AP","SPECIALIZED","****","****","ANOTHER PHASE","SPECIALIZED","SUBSTANTIAL",NA,"ACCIDENT","LOSS OF CONTROL IN THE AIR","RECIFE","PE","BRAZIL","****","2006-01-21","11:00:00","YES","SERIPA-2","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26121,9051,"PTWBI",859,"AIRPLANE","PIPER AIRCRAFT","PA-25-260","PISTON",1,2899,1,1976,"BRAZIL","SAE-AG","AGRICULTURAL","****","****","SPECIALIZED","AGRICULTURAL","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","NOVO HORIZONTE","SP","BRAZIL","****","2006-01-16","14:20:00","YES","SERIPA-4","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26139,9052,"PPEJF",4157,"HELICOPTER","BELL HELICOPTER","206B","TURBOSHAFT",1,3201,5,1986,"BRAZIL","ADE","DIRECT ADMINISTRATION","****","****","MANEUVER","POLICIAL","SUBSTANTIAL",NA,"ACCIDENT","LOSS OF CONTROL IN THE AIR","BELO HORIZONTE","MG","BRAZIL","SBPR","2006-02-01","16:45:00","YES","SERIPA-3","FINISHED","",1,"2015-11-30",0,1,NA
26140,9053,"PRCAV",3564,"HELICOPTER","EUROCOPTER FRANCE","AS 350 B3","TURBOSHAFT",1,4960,6,2004,"BRAZIL","TPX","AEROTAXI","SDRJ","****","UNKNOWN","AEROTAXI","UNKNOWN",1,"ACCIDENT","LOSS OF CONTROL IN THE AIR","ANGRA DOS REIS","RJ","BRAZIL","****","2006-01-22","20:00:00","YES","SERIPA-3","FINISHED","",1,"2009-12-30",21,1,NA
26179,9055,"PRABE",4635,"AIRPLANE","PIPER AIRCRAFT","PA-25-235","PISTON",1,2899,1,1969,"BRAZIL","SAE-AG","AGRICULTURAL","****","****","TRAFFIC CIRCUIT","AGRICULTURAL","SUBSTANTIAL",NA,"ACCIDENT","ENGINE FAILURE DURING THE FLIGHT","LUIZ ALVES","SC","BRAZIL","****","2006-02-18","10:15:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26259,9058,"PPJGV",2629,"AIRPLANE","CESSNA AIRCRAFT","560XL","JET",2,20000,11,2000,"BRAZIL","TPN","NOT REGULAR","SBRJ","SBSP","DESCEND","REGULAR","UNKNOWN",NA,"SERIOUS INCIDENT","FIRE DURING THE FLIGHT","SÃO PAULO","SP","BRAZIL","****","2006-01-20","00:45:00","YES","CENIPA","FINISHED","",1,"2013-07-30",2,1,NA
26421,9074,"PTUIX",1049,"AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","EMB-202","PISTON",1,3968,1,1994,"BRAZIL","SAE-AG","AGRICULTURAL","****","****","LANDING","AGRICULTURAL","SUBSTANTIAL",NA,"ACCIDENT","COLLISION AGAINST OBSTACLE ON THE GROUND","QUERÊNCIA DO NORTE","PR","BRAZIL","****","2006-02-18","11:00:00","YES","SERIPA-5","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
26439,9075,"PTWEX",1378,"AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","EMB-810D","PISTON",2,4750,7,1988,"BRAZIL","TPX","AEROTAXI","****","****","LANDING","AEROTAXI","SUBSTANTIAL",NA,"ACCIDENT","ABOUT LANDING GEAR","MANAUS","AM","BRAZIL","SWFN","2006-03-03","19:15:00","YES","SERIPA-7","IN PROGRESS","UNDEFINED",NA,"",0,1,NA
